Id_bien;Id_lieu;No_voie;Voie;Total_piece;Surface_carrez;Surface_local;Type local
10328;13203;22;RUE TOUSSAINT;3;63.19;70;Maison
10329;13204;15;RUE SAINT BRUNO;2;37;30;Appartement
10330;13208;13;ALL ALBENIZ;6;105.11;100;Appartement
10331;13208;367;AV DU PRADO;2;90.01;60;Appartement
10332;13208;217;AV DE MAZARGUES;1;45.2;35;Appartement
10333;13209;20;RUE DE LA MAGALONE;3;52.02;50;Appartement
10334;13210;107;AV DE LA CAPELETTE;2;38.31;38;Appartement
10335;13210;47;CHE DE LA VALBARELLE ST MARCEL;4;74.32;75;Appartement
10336;13212;47;AV DES TROIS LUCS;1;27.05;22;Appartement
10337;13213;54;AV COROT;3;53.01;53;Appartement
10338;13214;3;AV MARIGNY;3;61.15;65;Appartement
10339;13215;100;CHE ST ANTOINE A ST JOSEPH;4;85.02;84;Appartement
10340;13216;1;BD ROGER CHIEUSSE;4;82.76;82;Appartement
10341;14229;67;PARC PRL DE LA VALLEE D AUGE;3;68.34;68;Maison
10342;14338;1;RUE DE BEUZEVAL;2;23.67;25;Appartement
10343;17415;2;RUE BLANLOEIL;2;49.4;53;Appartement
10344;22278;10;RUE DE GOUEDIC;3;82;82;Appartement
10345;2453;45;RUE THOMAS EDISON;3;53.55;58;Appartement
10346;24322;1;RUE ALARY;3;55.22;56;Appartement
10347;26114;4;RUE MALAUTIERE;3;41.66;42;Appartement
10348;26362;53;GR GRANDE RUE;4;113.44;110;Appartement
10349;2885;13;RUE SALVADOR ALLENDE;3;73.65;76;Appartement
10350;28279;54;ALL DE PROVENCE;6;133.41;129;Maison
10351;2919;8;RUE GEORGES MELOU;3;63.35;67;Appartement
10352;29254;30;ALL SAINT FRANCOIS;4;115.82;94;Maison
10353;30189;9;RUE BACHALAS;1;22.82;23;Appartement
10354;31462;; CHARLARY;2;42.31;42;Appartement
10355;31506;4;RUE DES MURIERS;4;80.89;81;Appartement
10356;31555;26;AV JEAN CHAUBET;3;58.68;55;Appartement
10357;31555;292;AV DE FRONTON;3;66.75;66;Appartement
10358;333;22;RUE PASTEUR;3;68.62;69;Appartement
10359;339;206;BD DE LA PLAGE;1;22.55;22;Appartement
10360;3351;135;RUE GEORGES CLEMENCEAU;4;76.12;76;Maison
10361;3358;14;AV JEAN BOUSSARD;4;84.19;84;Maison
10362;3363;36;ALL EUGENE DELACROIX;4;84.87;85;Appartement
10363;3363;90;CRS DE L YSER;1;24.91;25;Appartement
10364;3363;108;CRS SAINT LOUIS;2;41.53;44;Appartement
10365;3363;15;RUE DES LENDEMAINS;2;47.71;47;Appartement
10366;33200;1;RUE MAURICE RAVEL;3;64;65;Appartement
10367;33214;2415;HAM LA BOUCANE;4;78.78;82;Maison
10368;33249;24;RUE GEORGES JEROME DURET;4;86.45;86;Appartement
10369;33249;9001;RUE DES GRAVIERES;5;96.31;95;Appartement
10370;33281;3;RUE DES OLYMPIADES;1;29.71;32;Appartement
10371;33281;128;AV DE LA SOMME;4;101.57;99;Appartement
10372;33318;12;RUE DES RESEDAS;2;48.58;48;Appartement
10373;33435;26;CRS GAMBETTA;2;39.05;39;Appartement
10374;33514;3097;BD MARSAN DE MONTBRUN;4;52.21;51;Maison
10375;33522;140;RUE ROBESPIERRE;2;41.1;42;Appartement
10376;34145;38;RUE PIERRE MAGNOL;4;81.83;80;Maison
10377;34301;4;RUE ROUGET DE LISLE;3;73.21;75;Appartement
10378;35136;21;RUE DU CHANOINE ROSSIGNOL;2;51.24;49;Appartement
10379;35288;3;RUE DAUPHINE;2;27.21;27;Appartement
10380;37261;6;SQ MANTEGNA;3;67.64;63;Appartement
10381;3845;62;CHE DE LA MOIDIEU;4;91.37;92;Appartement
10382;38151;4;AV DES FTPF;1;19.45;19;Appartement
10383;38185;58;BD MAL FOCH;2;58.89;56;Appartement
10384;38185;20;RUE AIME BEREY;3;58.47;60;Appartement
10385;38562;458;RUE PAUL LANGEVIN;4;95.01;87;Maison
10386;3913;; LA VILLE;1;8.2;64;Appartement
10387;39300;21;RUE DES CAPUCINS;1;21.38;23;Appartement
10388;404;97;RUE DU COUT;2;43;43;Appartement
10389;4065;1789; NOTRE DAME;3;30.52;33;Appartement
10390;4065;;QUAI DE LA PECHERIE;1;19.65;20;Appartement
10391;4065;4;ALL DES BERGES LANDAISES;2;37.54;38;Appartement
10392;4065;2;RUE DOUSSEAU;2;40.39;40;Appartement
10393;4088;14;RUE DE LA TANNERIE;1;15.51;16;Appartement
10394;40279;543;AV DE LA RESISTANCE;2;43.31;45;Appartement
10395;40283;320;RUE DES PELERINS;2;35.68;37;Appartement
10396;40304;227;BD DE LA DUNE;3;53.23;51;Appartement
10397;40304;94;AV DU TOURING CLUB;3;47.82;48;Appartement
10398;40312;12;ALL DES PRUNUS;1;27.43;27;Appartement
10399;40328;157;RES DE L OCEAN;2;37.4;38;Appartement
10400;4293;253;RUE DE LA CONDAMINE;4;55.6;50;Appartement
10401;42127;46;RUE VICTOR HUGO;3;73.58;71;Appartement
10402;42183;26;RUE PAUL LANGEVIN;3;55.3;55;Appartement
10403;42183;20;RUE DE LA LIBERATION;3;156.5;97;Appartement
10404;42207;51;RUE SIBERT;1;10.3;229;Appartement
10405;42207;4;RUE BERTHELOT;3;83.85;86;Appartement
10406;42218;34;RUE EMILE LITTRE;3;42.14;45;Appartement
10407;4351;25;RTE DU MAZET;3;68.5;67;Appartement
10408;4455;3;AV DU CONNETABLE;2;36.53;37;Appartement
10409;4488;26;RUE DE LA MAINE;2;48.7;48;Appartement
10410;44120;2;RUE DU VERGER;4;129.39;129;Appartement
10411;44184;2;PAS DE LA LIBERATION;2;31.02;32;Appartement
10412;44184;60;AV DE LA REPUBLIQUE;3;53.67;59;Appartement
10413;44186;27;AV DES ERABLES;5;68.91;80;Maison
10414;45234;24;BD MARIE STUART;2;42.6;42;Appartement
10415;45284;13;PL DE LA COMMUNE;3;66.2;75;Appartement
10416;471;69;BD DE LA LIBERTE;3;62.9;62;Appartement
10417;47128;5004; AU PEINTRE;3;62.2;61;Appartement
10418;4827;5051;AV DES THERMES;3;50;52;Appartement
10419;497;6;RUE ANNE, COMTE DE TOURVILLE;2;50.83;50;Appartement
10420;497;17;RUE DAINVILLE;1;30.46;34;Appartement
10421;497;23;RUE DU MARQUIS TURBILLY;1;34.47;35;Appartement
10422;497;61;RUE DE LA PICOTIERE;3;68.32;71;Appartement
10423;50165;5;RUE GUY MOCQUET;1;21.08;21;Appartement
